Pincode,Sort Code,Courier Mode
132117,KRA/KRA,BLUEDART
132122,SMH/SMH,BLUEDART
132140,PNO/PNO,BLUEDART
132145,PNP/PAO,BLUEDART
132151,PNP/PAO,BLUEDART
132157,KRA/KRA,BLUEDART
133001,ABA/AMY,BLUEDART
133003,ABA/AMY,BLUEDART
133004,ABA/AMY,BLUEDART
133005,ABA/AMY,BLUEDART
133006,ABA/AMY,BLUEDART
133007,ABA/AMY,BLUEDART
133008,AME/AME,BLUEDART
133010,AME/AME,BLUEDART
133021,ABA/AMY,BLUEDART
133101,MLN/MLN,BLUEDART
133102,ABA/SMK,BLUEDART
133103,JDR/JDR,BLUEDART
133104,MLN/MLN,BLUEDART
133201,MLN/MLN,BLUEDART
133202,MLN/MLN,BLUEDART
133203,MLN/MLN,BLUEDART
133204,NGH/NGH,BLUEDART
133205,MLN/MLN,BLUEDART
133206,JDR/JDR,BLUEDART
133207,MLN/MLN,BLUEDART
133301,PKL/PKL,BLUEDART
133302,DPR/DPR,BLUEDART
134001,ABA/AMY,BLUEDART
134002,ABA/AMY,BLUEDART
134003,ABA/AMY,BLUEDART
134004,ABA/AMY,BLUEDART
134005,ABA/AMY,BLUEDART
134006,ABA/AMY,BLUEDART
134007,ABA/AMY,BLUEDART
134008,AME/AME,BLUEDART
134101,PJE/PJE,BLUEDART
134102,PJE/PJE,BLUEDART
134103,PKZ/PKZ,BLUEDART
134104,PJE/PJE,BLUEDART
134105,PKZ/PKZ,BLUEDART
134107,PKL/PKL,BLUEDART
134108,PKL/PKL,BLUEDART
134109,PKL/PKL,BLUEDART
134112,PKL/PKL,BLUEDART
134113,PKL/PKL,BLUEDART
134114,PKL/PKL,BLUEDART
134115,PKL/PKL,BLUEDART
134116,PKL/PKL,BLUEDART
134117,PKZ/PKZ,BLUEDART
134118,BWB/BWB,BLUEDART
134201,MLN/MLN,BLUEDART
134202,MLN/MLN,BLUEDART
134203,NGH/NGH,BLUEDART
134204,PKL/PKL,BLUEDART
134205,PKZ/PKZ,BLUEDART
135001,YMN/YMN,BLUEDART
135002,YMN/YMN,BLUEDART
135003,YMN/YMN,BLUEDART
135004,JDR/JDR,BLUEDART
135021,JDR/JDR,BLUEDART
135101,JDR/JDR,BLUEDART
135102,JDR/JDR,BLUEDART
135103,JDR/JDR,BLUEDART
135106,JDR/JDR,BLUEDART
135133,JDR/JDR,BLUEDART
136020,PRI/PRI,BLUEDART
136021,PRI/PRI,BLUEDART
136026,PRI/PRI,BLUEDART
136027,KTL/KTX,BLUEDART
136030,PEW/PEW,BLUEDART
136033,PRI/PRI,BLUEDART
136034,PEW/PEW,BLUEDART
136035,PEW/PEW,BLUEDART
136038,KRA/KRA,BLUEDART
136042,PRI/PRI,BLUEDART
136043,PRI/PRI,BLUEDART
136044,PRI/PRI,BLUEDART
136118,KRA/KRA,BLUEDART
136119,KRA/KRA,BLUEDART
136128,PEW/PEW,BLUEDART
136129,PEW/PEW,BLUEDART
136130,KRA/KRA,BLUEDART
136131,KRA/KRA,BLUEDART
136132,KRA/KRA,BLUEDART
136135,ABA/SMK,BLUEDART
136136,ABA/SMK,BLUEDART
136156,KRA/KRA,BLUEDART
140001,DRP/DRP,BLUEDART
140101,MRI/MRI,BLUEDART
140102,CMK/CMK,BLUEDART
140103,MRI/MRI,BLUEDART
140105,ZKP/ZKP,BLUEDART
140108,DRX/DRX,BLUEDART
140109,DRX/DRX,BLUEDART
140110,DRX/DRX,BLUEDART
140111,CMK/CMK,BLUEDART
140112,CMK/CMK,BLUEDART
140113,DRP/DRP,BLUEDART
140114,DRX/DRX,BLUEDART
140115,ASB/ASB,BLUEDART
140116,ASB/ASB,BLUEDART
140117,ASB/ASB,BLUEDART
140118,ASB/ASB,BLUEDART
140119,ASB/ASB,BLUEDART
140123,ASB/ASB,BLUEDART
140133,ASB/ASB,BLUEDART
140201,DBI/DBI,BLUEDART
140301,KRX/KRX,BLUEDART
140306,MOH/MOH,BLUEDART
140307,KRX/KRX,BLUEDART
140308,MOH/MOH,BLUEDART
140401,RJR/RJR,BLUEDART
140402,RJR/RJR,BLUEDART
140406,FGS/FGS,BLUEDART
140407,FGS/FGS,BLUEDART
140408,FGS/FGS,BLUEDART
140412,MRI/MRI,BLUEDART
140413,KRX/KRX,BLUEDART
140417,RJR/RJR,BLUEDART
140501,LRU/LRU,BLUEDART
140506,DBI/DBI,BLUEDART
140507,DBI/DBI,BLUEDART
140601,RJR/RJR,BLUEDART
140602,RJR/RJR,BLUEDART
140603,ZKP/ZKP,BLUEDART
140604,ZKP/ZKP,BLUEDART
140701,RJR/RJR,BLUEDART
140802,MRI/MRI,BLUEDART
140901,CAR/CMM,BLUEDART
141001,LDH/LDC,BLUEDART
141002,LDH/LCE,BLUEDART
141003,LDH/LDO,BLUEDART
141004,LDH/LCE,BLUEDART
141005,LDH/LDO,BLUEDART
141006,LDH/LDO,BLUEDART
141007,LDH/LDO,BLUEDART
141008,LDH/LDO,BLUEDART
141009,LDH/LDO,BLUEDART
141010,LDH/LCJ,BLUEDART
141011,LDH/LCJ,BLUEDART
141012,LDH/LCE,BLUEDART
141013,LDH/LCE,BLUEDART
141014,LDH/LCJ,BLUEDART
141015,LDH/LCJ,BLUEDART
141016,LDH/LCJ,BLUEDART
141017,LDH/LCJ,BLUEDART
141020,LDH/LDO,BLUEDART
141101,MLP/MLP,BLUEDART
141104,MLP/MLP,BLUEDART
141106,MLP/MLP,BLUEDART
141110,LDH/LCE,BLUEDART
141113,LDH/LCJ,BLUEDART
141116,LDH/LCE,BLUEDART
141117,LDS/LDS,BLUEDART
141119,MKA/MKA,BLUEDART
141120,LDH/LCJ,BLUEDART
141122,LDH/LDO,BLUEDART
141123,LDH/LCJ,BLUEDART
141304,PHG/PHA,BLUEDART
141309,JRD/JRC,BLUEDART
141310,NKD/NKD,BLUEDART
141401,DKN/DKN,BLUEDART
141402,DKN/DKN,BLUEDART
141411,FGS/FGS,BLUEDART
141415,MKA/MKA,BLUEDART
141421,LDH/LCE,BLUEDART
141422,LDR/LDR,BLUEDART
141801,CMK/CMK,BLUEDART
142001,MOG/MOG,BLUEDART
142003,MOG/MOG,BLUEDART
142021,LDH/LCE,BLUEDART
142026,JGR/JGR,BLUEDART
142027,LDH/LCE,BLUEDART
142037,MGA/MGA,BLUEDART
142038,MGA/MGA,BLUEDART
142039,MGA/MGA,BLUEDART
142042,MGA/MGA,BLUEDART
142043,MGA/MGA,BLUEDART
142044,ZRA/ZRA,BLUEDART
142045,MGA/MGA,BLUEDART
142047,ZRA/ZRA,BLUEDART
142048,MGA/MGA,BLUEDART
142049,KTP/KTP,BLUEDART
142050,ZRA/ZRA,BLUEDART
142052,FZP/FZP,BLUEDART
142053,MGA/MGA,BLUEDART
142055,MGA/MGA,BLUEDART
142057,MGA/MGA,BLUEDART
142058,MGA/MGA,BLUEDART
142060,FDD/FDD,BLUEDART
143001,ATQ/ATR,BLUEDART
143002,ATQ/ATR,BLUEDART
143003,ATQ/ATR,BLUEDART
143004,ATQ/ATR,BLUEDART
143005,ATQ/ATR,BLUEDART
143006,ATQ/ATR,BLUEDART
143008,ATQ/ATR,BLUEDART
143010,ATQ/ATR,BLUEDART
143021,ATQ/ATK,BLUEDART
143022,ATQ/ATK,BLUEDART
143101,ATQ/ATK,BLUEDART
143102,AJN/AJN,BLUEDART
143104,ATQ/ATR,BLUEDART
143105,ATQ/ATR,BLUEDART
143106,ATQ/ATR,BLUEDART
143107,ATQ/ATK,BLUEDART
143112,BEA/BEA,BLUEDART
143115,ATQ/ATK,BLUEDART
143201,BEA/BEA,BLUEDART
143202,BEA/BEA,BLUEDART
143204,BEA/BEA,BLUEDART
143301,PTI/PTI,BLUEDART
143303,PTI/PTI,BLUEDART
143305,PTI/PTI,BLUEDART
143412,PTI/PTI,BLUEDART
143416,PTI/PTI,BLUEDART
143419,PTI/PTI,BLUEDART
143501,ATQ/ATK,BLUEDART
143516,BTT/BTT,BLUEDART
143601,AJN/AJN,BLUEDART
144001,JRD/JRC,BLUEDART
144002,JRD/JRC,BLUEDART
144003,JRD/JRC,BLUEDART
144004,JRD/JRW,BLUEDART
144005,JRD/JRW,BLUEDART
144006,JRD/JRW,BLUEDART
144007,JRD/JRW,BLUEDART
144008,JRD/JRW,BLUEDART
144009,JRD/JRW,BLUEDART
144010,JRD/JRW,BLUEDART
144011,JRD/JRW,BLUEDART
144012,JRD/JRW,BLUEDART
144013,JRD/JRC,BLUEDART
144014,JRD/JRC,BLUEDART
144015,JRE/JRE,BLUEDART
144021,JRD/JRC,BLUEDART
144022,JRD/JRC,BLUEDART
144023,JRD/JRW,BLUEDART
144027,JRD/JRW,BLUEDART
144032,PHG/PHA,BLUEDART
144033,NKD/NKD,BLUEDART
144039,NKD/NKD,BLUEDART
144040,NKD/NKD,BLUEDART
144041,NKD/NKD,BLUEDART
144102,ADA/ADA,BLUEDART
144401,PHG/PHA,BLUEDART
144402,PHG/PHA,BLUEDART
144403,PHG/PHA,BLUEDART
144405,PHG/PHA,BLUEDART
144407,PHG/PHA,BLUEDART
144408,PHG/PHA,BLUEDART
144409,GRY/GRY,BLUEDART
144410,GRY/GRY,BLUEDART
144411,PHG/LPU,BLUEDART
144415,GSK/GSK,BLUEDART
144416,GRY/GRY,BLUEDART
144417,GSK/GSK,BLUEDART
144421,GSK/GSK,BLUEDART
144422,GSK/GSK,BLUEDART
144501,PHG/PHA,BLUEDART
144502,PHG/PHA,BLUEDART
144503,PHG/PHA,BLUEDART
144504,PHG/PHA,BLUEDART
144509,GSK/GSK,BLUEDART
144510,GSK/GSK,BLUEDART
144511,GSK/GSK,BLUEDART
144512,GSK/GSK,BLUEDART
144513,GSK/GSK,BLUEDART
144518,GSK/GSK,BLUEDART
144521,GSK/GSK,BLUEDART
144523,GSK/GSK,BLUEDART
144524,GSK/GSK,BLUEDART
144525,GSK/GSK,BLUEDART
144526,GSK/GSK,BLUEDART
144527,GSK/GSK,BLUEDART
144528,GSK/GSK,BLUEDART
144532,GSK/GSK,BLUEDART
144533,DRP/DRP,BLUEDART
144601,KAP/KAP,BLUEDART
144602,KAP/KAP,BLUEDART
144624,BWL/BWL,BLUEDART
144626,NSU/NSU,BLUEDART
144632,PHG/PHA,BLUEDART
144633,PHG/PHA,BLUEDART
144801,KAT/KAT,BLUEDART
144802,KAP/KAP,BLUEDART
145001,THK/PTK,BLUEDART
145023,THK/THC,BLUEDART
146001,HPR/HPA,BLUEDART
146021,HPR/HPA,BLUEDART
146022,HPR/HPA,BLUEDART
146023,HPR/HPA,BLUEDART
146024,HPR/HPA,BLUEDART
146105,HPR/HPA,BLUEDART
146111,HPR/HPA,BLUEDART
147001,PTA/PTA,BLUEDART
147002,PTA/PTA,BLUEDART
147003,PTA/PTA,BLUEDART
147004,PTA/PTA,BLUEDART
147005,PTA/PTA,BLUEDART
147021,PTA/PTA,BLUEDART
147102,SRR/SNO,BLUEDART
147103,PTA/PTA,BLUEDART
147111,PTA/PTA,BLUEDART
147201,NBH/NBH,BLUEDART
147202,FGS/FGS,BLUEDART
147203,FGS/FGS,BLUEDART
147301,FGS/FGS,BLUEDART
148001,SRR/SNO,BLUEDART
148002,SRR/SNO,BLUEDART
148017,SRR/SNO,BLUEDART
148019,MKA/MKA,BLUEDART
148020,MKA/MKA,BLUEDART
148021,MKA/MKA,BLUEDART
148022,MKA/MKA,BLUEDART
148025,BRA/BRA,BLUEDART
148026,SRR/SNO,BLUEDART
148029,SRR/SNO,BLUEDART
148033,JMM/JMM,BLUEDART
148034,SRR/SNO,BLUEDART
148035,SRR/SNO,BLUEDART
148100,BRA/BRA,BLUEDART
148101,BRA/BRA,BLUEDART
148102,BRA/BRA,BLUEDART
148103,BRA/BRA,BLUEDART
148104,BRA/BRA,BLUEDART
148105,BRA/BRA,BLUEDART
148106,SRR/SNO,BLUEDART
148107,BRA/BRA,BLUEDART
148108,RPZ/RPZ,BLUEDART
148109,RPZ/RPZ,BLUEDART
151001,DBH/BHT,BLUEDART
151002,DBH/BHT,BLUEDART
151003,DBH/BHT,BLUEDART
151004,DBH/BHT,BLUEDART
151005,DBH/BHT,BLUEDART
151101,BMD/BMD,BLUEDART
151102,BMD/BMD,BLUEDART
151103,RPZ/RPZ,BLUEDART
151104,RPZ/RPZ,BLUEDART
151105,RPZ/RPZ,BLUEDART
151106,RPZ/RPZ,BLUEDART
151108,RPZ/RPZ,BLUEDART
151111,RPZ/RPZ,BLUEDART
151201,GMD/GMD,BLUEDART
151202,KTP/KTP,BLUEDART
151203,FDD/FDD,BLUEDART
151205,KTP/KTP,BLUEDART
151206,KTP/KTP,BLUEDART
151207,KTP/KTP,BLUEDART
151208,KTP/KTP,BLUEDART
151209,KTP/KTP,BLUEDART
151210,MLT/MLT,BLUEDART
151212,FDD/FDD,BLUEDART
151301,TWS/TWS,BLUEDART
151302,TWS/TWS,BLUEDART
151401,GMD/GMD,BLUEDART
151501,MNO/MNO,BLUEDART
151502,MNO/MNO,BLUEDART
151503,MNO/MNO,BLUEDART
151504,MNO/MNO,BLUEDART
151505,MNO/MNO,BLUEDART
151507,MNO/MNO,BLUEDART
151508,MNO/MNO,BLUEDART
